"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22756","Validate required fields on submit","webkit","2026-05-29","passed","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","12409","Login with valid credentials","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","13168","Login with invalid password","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","8382","Login with invalid username","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","13209","leave history","firefox","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","13141","Configuration Events","chromium","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","17742","Session should end after logout","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","24654","My Info","webkit","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","21509","to view the timesheet","chromium","2026-05-29","passed","2026-05-29","Time Tests","Time/timesheet.spec.js","",""
"","4285","Verify login page UI elements","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","13903","holiday check","chromium","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","18324","Job Categories","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","18980","Job Categories","firefox","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","14167","punch in/out with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","11913","employee Reviews","webkit","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","10387","leave period check","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","11528","Verify Apply button visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","23698","Pay Grades","webkit","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","21365","Verify Employee Name field visible","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","4221","Login with empty username","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","23264","Verify employee search field visible","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","24364","Change Password","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/profile.spec.js","",""
"","24756","Help menu - Employee User Guide","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","9702","Open Leave module","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","10053","employee entitlements","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","10211","Login with invalid username","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Authentication","Authentication/login.spec.js","",""
"","13057","Apply Leave","firefox","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","11111","Open Leave module","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","22749","Expense Types","firefox","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","31513","Checking the role software engineer","chromium","2026-05-29","broken","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","16467","Job Categories","webkit","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","16630","My Trackers","chromium","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","14371","Assign Claim","webkit","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","15540","Work Shifts","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","19632","Search employee with empty data","chromium","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","19503","Verify reset button visible","chromium","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","23926","Verify Candidates tab","webkit","2026-05-29","passed","2026-05-29","Recruitment Tests","Recruitment/recruitment.spec.js","",""
"","16185","MyReviews","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","15659","Verify Recruitment tab","firefox","2026-05-29","passed","2026-05-29","Recruitment Tests","Recruitment/recruitment.spec.js","",""
"","19285","Corporate Branding","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/adminfunc.spec.js","",""
"","20794","Search for user","webkit","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","31668","checking the candidate who applied in online mode","chromium","2026-05-29","broken","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","11844","Verify Reset button visible","chromium","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","14148","My Claims","webkit","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","16959","Configure Trackers","chromium","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","14207","Add employee successfully","firefox","2026-05-29","passed","2026-05-29","PIM - Add Employee","PIM/addEmployee.spec.js","",""
"","16200","Open Admin module","chromium","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","16887","MyReviews","chromium","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","19120","Corporate Branding","firefox","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/adminfunc.spec.js","",""
"","11423","Verify Add Employee page fields visible","chromium","2026-05-29","passed","2026-05-29","PIM - Add Employee","PIM/addEmployee.spec.js","",""
"","13471","Verify Search button visible","chromium","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","28372","customers project info with time check","chromium","2026-05-29","passed","2026-05-29","Time Tests","Time/projectinfo.spec.js","",""
"","30359","Verify Add Employee page loads correctly","firefox","2026-05-29","broken","2026-05-29","PIM - Employee Validation Tests","PIM/employeevalidation.spec.js","",""
"","15260","Verify Vacancies tab","firefox","2026-05-29","passed","2026-05-29","Recruitment Tests","Recruitment/recruitment.spec.js","",""
"","11672","View Support","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/profile.spec.js","",""
"","30018","checking who are shortlisted","firefox","2026-05-29","broken","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","31590","punch in/out with time check","chromium","2026-05-29","broken","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","29463","Checking the status","chromium","2026-05-29","passed","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","13143","Submit Claim","chromium","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","12713","Apply Leave","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","9390","Verify Leave List page visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","10660","Memberships","chromium","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","9157","employee entitlements","chromium","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","22723","Help menu - AWS Guide","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","12893","Edit Claim","webkit","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","14857","Configuration Events","firefox","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","13632","Approved leave","firefox","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","16737","customers project info with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/projectinfo.spec.js","",""
"","19598","Help menu - Mobile App","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","29349","Quick Launch - Assign Leave","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","29390","checking who are shortlisted","chromium","2026-05-29","passed","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","30108","Report-to","webkit","2026-05-29","broken","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","19979","add button","webkit","2026-05-29","passed","2026-05-29","Vacancies Tests","Recruitment/Vacancies.spec.js","",""
"","25110","Verify search button visible","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","14984","Configure Performance","webkit","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","14214","Logout successfully","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","29764","Quick Launch - Leave List","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","28929","licences of employee","webkit","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/adminfunc.spec.js","",""
"","30018","Verify Cancel button navigates back","webkit","2026-05-29","broken","2026-05-29","PIM - Add Employee","PIM/addEmployee.spec.js","",""
"","28763","Dependents","webkit","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","17546","Verify reset button visible","webkit","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","23433","Help menu- Admin User Guide","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","13556","employee entitlements","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","16480","leave history","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","15655","Search for user","firefox","2026-05-29","passed","2026-05-29","Admin Tests","Admin/admin.spec.js","",""
"","20661","to view the timesheet","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/timesheet.spec.js","",""
"","14680","Configuration Events","webkit","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","13685","Employee Trackers","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","22775","Pay Grades","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/job.spec.js","",""
"","24348","checking the candidate who is IT manager","chromium","2026-05-29","passed","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","18029","Search employee by name","chromium","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","16992","Verify Search button visible","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","19429","Help menu - AWS Guide","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","22300","Quick Launch - Assign Leave","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","29786","My Records with time check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","21322","Verify Leave List page visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","12166","leave types check","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","26975","project info with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/projectinfo.spec.js","",""
"","16697","Verify Leave Type dropdown visible","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","15789","Logout successfully","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","27606","Quick Launch - Leave List","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","15905","workweeks check","webkit","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","14878","Open Apply Leave page","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","14083","My Trackers","firefox","2026-05-29","passed","2026-05-29","Performance Tests","Perfomance/Performance.spec.js","",""
"","20655","Search employee using partial name","webkit","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","14956","Rejected leave","firefox","2026-05-29","passed","2026-05-29","Apply Leave Tests","Leave/applyleave.spec.js","",""
"","18264","Search employee after navigation","webkit","2026-05-29","passed","2026-05-29","PIM - Employee Full Flow","PIM/employeeflow.spec.js","",""
"","13407","entitlements","webkit","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/Entitlement.spec.js","",""
"","26188","checking the candidate who applied in offline mode","chromium","2026-05-29","passed","2026-05-29","Candidates Tests","Recruitment/candidates.spec.js","",""
"","29582","Verify employee list page opens","firefox","2026-05-29","passed","2026-05-29","PIM - Employee Search","PIM/employeesearch.spec.js","",""
"","7979","employee reports with time check","webkit","2026-05-29","passed","2026-05-29","Time Tests","Time/Reports.spec.js","",""
"","12554","Assign Claim","firefox","2026-05-29","passed","2026-05-29","Expenses claim Tests","Expenses claim/claim.spec.js","",""
"","12995","Widget visibility","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","20964","licences of employee","chromium","2026-05-29","passed","2026-05-29","Admin functionality Tests","Admin/adminfunc.spec.js","",""
"","25532","Quick Launch - Timesheets","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","15543","Session should end after logout","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Logout Module","Authentication/logout.spec.js","",""
"","24566","employee attendance record check","firefox","2026-05-29","passed","2026-05-29","Time Tests","Time/Attendancetime.spec.js","",""
"","8346","Report-to","chromium","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
"","8983","Open Leave module","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","14692","Verify Search button visible","firefox","2026-05-29","passed","2026-05-29","Leave List Tests","Leave/leavelist.spec.js","",""
"","24616","Help menu - Employee User Guide","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","24773","Emergency Contacts","firefox","2026-05-29","passed","2026-05-29","profile Tests","Profile/myinfo.spec.js","",""
